Local Area Unemployment Statistics;;;;;
Original Data Value;;;;;
;;;;;
Series Id:;LAUMT261146000000003;;;;
Not Seasonally Adjusted;;;;;
Area:;Ann Arbor, MI Metropolitan Statistical Area;;;;
Area Type:;Metropolitan areas;;;;
State/Region/Division:;Michigan;;;;
Years:;1999 to 2019;;;;
;;;;;
Year;Jan;;;;
1999;1.9;;;;
2000;2.3;;;;
2001;2.7;;;;
2002;3.9;;;;
2003;3.8;;;;
2004;4.2;;;;
2005;4.5;;;;
2006;4.6;;;;
2007;5.0;;;;
2008;4.9;;;;
2009;6.8;;;;
2010;8.7;;;;
2011;7.0;;;;
2012;5.9;;;;
2013;5.9;;;;
2014;5.1;;;;
2015;4.1;;;;
2016;3.3;;;;
2017;3.6;;;;
2018;3.4;;;;
2019;3.1;;;;
