Local Area Unemployment Statistics;;;;;
Original Data Value;;;;;
;;;;;
Series Id:;LASST260000000000003;;;;
Seasonally Adjusted;;;;;
Area:;Michigan;;;;
Area Type:;Statewide;;;;
State/Region/Division:;Michigan;;;;
Years:;1999 to 2019;;;;
;;;;;
Year;Jan;;;;
1999;3.9;;;;
2000;3.3;;;;
2001;4.4;;;;
2002;6.4;;;;
2003;6.6;;;;
2004;6.8;;;;
2005;7.2;;;;
2006;6.8;;;;
2007;6.9;;;;
2008;7.1;;;;
2009;10.9;;;;
2010;13.9;;;;
2011;11.0;;;;
2012;9.2;;;;
2013;9.1;;;;
2014;8.1;;;;
2015;6.0;;;;
2016;4.9;;;;
2017;4.9;;;;
2018;4.5;;;;
2019;4.2;;;;
